month,temp_f
Jan,18.73129032258063
Feb,24.394999999999985
Mar,37.618225806451605
Apr,44.616749999999975
May,61.22798387096768
Jun,68.24124999999998
Jul,73.02209677419353
Aug,72.10274193548379
Sep,61.6719999999999
Oct,51.71895161290322
Nov,33.676500000000004
Dec,26.04862903225806
